#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 922: Santa Fe, NM
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                       
# Precipitation Increment - Snow-adj  Value       None           Month              N/A        Inches             N/A           PRCPSA        Snow adjusted total preciptation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Santa Fe (922) 
# New Mexico  SNOTEL Site - 11445 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: May 9, 2018 7:44:52 PM GMT-08:00
#
Date,Santa Fe (922) Precipitation Increment - Snow-adj (in)
Oct 1996,6.50
Nov 1996,4.00
Dec 1996,1.50
Jan 1997,5.90
Feb 1997,4.10
Mar 1997,0.80
Apr 1997,5.60
May 1997,2.40
Jun 1997,2.80
Jul 1997,4.40
Aug 1997,7.60
Sep 1997,3.40
Oct 1997,2.60
Nov 1997,3.80
Dec 1997,4.20
Jan 1998,1.20
Feb 1998,3.90
Mar 1998,6.10
Apr 1998,2.70
May 1998,0.50
Jun 1998,0.40
Jul 1998,8.20
Aug 1998,6.00
Sep 1998,0.60
Oct 1998,5.20
Nov 1998,2.40
Dec 1998,0.40
Jan 1999,1.80
Feb 1999,0.30
Mar 1999,1.70
Apr 1999,3.90
May 1999,3.90
Jun 1999,2.30
Jul 1999,6.40
Aug 1999,8.00
Sep 1999,3.10
Oct 1999,0.80
Nov 1999,0.40
Dec 1999,1.30
Jan 2000,3.60
Feb 2000,0.80
Mar 2000,5.00
Apr 2000,1.70
May 2000,0.20
Jun 2000,1.10
Jul 2000,3.60
Aug 2000,4.90
Sep 2000,0.50
Oct 2000,6.60
Nov 2000,3.60
Dec 2000,1.70
Jan 2001,3.90
Feb 2001,3.10
Mar 2001,2.60
Apr 2001,1.60
May 2001,2.40
Jun 2001,0.90
Jul 2001,2.10
Aug 2001,3.20
Sep 2001,0.90
Oct 2001,0.60
Nov 2001,1.80
Dec 2001,1.80
Jan 2002,2.00
Feb 2002,1.10
Mar 2002,0.40
Apr 2002,1.90
May 2002,0.40
Jun 2002,1.10
Jul 2002,3.80
Aug 2002,1.40
Sep 2002,4.70
Oct 2002,3.90
Nov 2002,3.00
Dec 2002,1.80
Jan 2003,0.40
Feb 2003,5.10
