DATE,FIRE_NAME,FIRE_SIZE,LATITUDE,LONGITUDE
2005-05-31,SAWYER,0.75,35.70111111,-105.70916667
2005-07-03,PECOS,0.1,35.6875,-105.74388889
2005-06-21,GLORIETA,0.1,35.61777778,-105.63138889
2005-05-31,TERERRO,0.1,35.75777778,-105.66194444
2005-06-04,DAVIS,0.1,35.77,-105.66194444
2005-06-11,HARTMAN,0.5,35.54361111,-105.50138889
2005-06-12,LA JOYA,0.75,35.55138889,-105.765
2005-06-13,WILD HORSE,1.0,35.70111111,-105.81333333
2005-06-13,MACHO,0.5,35.72888889,-105.76111111
2005-06-13,KIWI,0.1,35.6875,-105.70916667
2005-06-27,LONE PINE,0.25,35.81277778,-105.49888889
2005-06-27,ESCODIDO,0.8,35.52888889,-105.63833333
2005-06-27,QUINTA,0.1,35.60194444,-105.525
2005-06-21,THOMPSON,0.1,35.67388889,-105.83111111
2005-07-12,RAWS,1.25,35.81916667,-105.83555556
2005-07-17,SKYLINE,0.1,35.5875,-105.46805556
2005-07-17,ALAMITO,0.25,35.66,-105.74388889
2005-07-09,SHAGGY,2.0,35.61611111,-105.83277778
2005-07-31,WINSOR,1.5,35.75138889,-105.65194444
2005-06-20,SOMBRA,0.1,35.55972222,-105.46333333
2005-07-16,MOLINO,0.1,35.975,-105.75916667
2005-09-28,EXCAVATOR,0.1,35.73333333,-105.83111111
2005-09-11,COMISSARY,6.0,35.51444444,-105.47916667
2005-09-25,ROCK,4.0,35.55805556,-105.47916667
2005-07-12,RIDGE,0.1,35.63777778,-105.77666667
2006-04-19,APACHE,6.0,35.54361111,-105.55
2006-05-17,OSHA,0.1,35.6875,-105.5875
2006-05-25,BLUE BELL,1.5,35.7825,-105.47111111
2006-06-02,OJITO,0.1,35.61638889,-105.62277778
2006-05-23,NAMBE,4.0,35.82805556,-105.82416667
2006-06-09,MOSCA,0.1,35.92,-105.80805556
2006-06-10,BURRO,0.25,35.72638889,-105.49111111
2006-06-08,MONTOYA,1.5,35.57583333,-105.51555556
2006-06-11,EL MACHO,3.0,35.64138889,-105.6375
2006-07-02,TESUQUE,0.1,35.75805556,-105.82888889
2006-07-03,WATERSHED,0.25,35.71833333,-105.83111111
2006-06-29,CARPENTER,0.1,35.805,-105.66972222
2006-07-01,ALAMITOS,1.0,35.64194444,-105.71194444
2006-06-30,VALDEZ,0.1,35.8925,-105.57027778
2006-07-29,ROCK BLUFF,0.1,35.66861111,-105.6525
2006-07-20,MANZANARES,0.25,35.66,-105.5875
2006-07-27,CUEVA,0.25,35.63388889,-105.74916667
2006-07-31,PADRE SPRINGS,0.1,35.52111111,-105.74555556
2007-06-22,AMOLE,0.33,35.95222222,-105.81277778
2007-05-19,FIELD TRACK,0.1,35.75388889,-105.69166667
2007-06-29,PACHECO,0.5,35.78555556,-105.82611111
2007-07-07,306,0.29,35.98638889,-105.78222222
2007-06-01,SAWYER MESA,0.08,35.71083333,-105.71222222
2007-06-09,DAVIS,0.1,35.74527778,-105.65944444
2007-06-18,MONASTERY,1.0,35.605,-105.67666667
2007-07-01,MACHO,2.0,35.69472222,-105.73388889
2007-07-01,TRES LAGUNAS,1.0,35.7325,-105.64166667
2007-08-20,BAR X BAR,1.0,35.62611111,-105.58694444
2007-08-28,CARNERO,0.1,35.97722222,-105.80527778
2007-11-13,HYDE PARK,0.1,35.75944444,-105.82527778
2008-05-06,BARILLAS,0.5,35.56333333,-105.47222222
2008-07-02,JOHNSON MESA,0.1,35.70361111,-105.48638889
2008-06-23,OSHA,6.0,35.73444444,-105.56944444
2008-06-29,VALLE,0.1,35.70055556,-105.61166667
2008-07-06,RIDGE,0.1,35.66555556,-105.83305556
2008-08-03,APACHE,3.0,35.63861111,-105.82083333
2008-07-22,LUCKY,0.1,35.67916667,-105.64694444
2009-04-10,LA JOYA,0.25,35.53388889,-105.76805556
2009-05-24,COW CREEK,0.1,35.66916667,-105.64083333
2009-07-26,AGUA SARCA,0.01,35.66972222,-105.84972222
2009-07-27,D,0.1,35.77305556,-105.81805556
2009-08-16,CHEVY,0.1,35.79777778,-105.83305556
2009-05-04,POWER LINE,0.1,35.66361111,-105.57138889
2009-05-10,SOLDIER,144.0,35.67194444,-105.65
2009-06-01,DAVIS,0.1,35.75694444,-105.66583333
2009-07-17,TECOLOTE,5.7,35.66944444,-105.46277778
2009-07-26,HAMBY,0.1,35.82638889,-105.65138889
2009-07-27,RANCH,0.1,35.68916667,-105.63305556
1992-06-01,,0.2,35.61666667,-105.83333333
1992-06-05,,0.3,35.645,-105.61
1992-06-28,,0.2,35.75,-105.65
1992-07-21,,0.3,35.51666667,-105.63333333
1992-07-31,,0.2,35.7,-105.66666667
1992-08-02,,0.3,35.64166667,-105.75833333
1992-08-04,,0.2,35.75,-105.65
1992-08-08,,2.0,35.61666667,-105.53333333
1992-08-11,,0.2,35.71666667,-105.46666667
1992-08-31,,0.5,35.66666667,-105.58333333
1992-05-15,,0.2,35.89,-105.84666667
1992-07-09,,0.1,35.95,-105.75833333
1993-05-04,,0.2,35.58333333,-105.63333333
1993-06-14,,0.3,35.57333333,-105.52
1993-06-15,,0.3,35.51666667,-105.48333333
1993-06-15,,0.5,35.53333333,-105.48333333
1993-06-15,,1.0,35.7,-105.7
1993-06-19,,5.0,35.63166667,-105.66666667
